name	date	location
HA|A/European_Herring_Gull/Netherlands/6/2022_HA_H5N1_HPAI|EPI2088926	2022-06-07	North-Central
HA|A/European_Herring_Gull/Netherlands/7/2022_HA_H5N1_HPAI|EPI2088934	2022-06-07	North-Central
HA|A/Sandwich_Tern/Netherlands/12/2022_HA_H5N1_HPAI|EPI2088942	2022-06-07	North-Central
HA|A/Sandwich_Tern/Netherlands/14/2022_HA_H5N1_HPAI|EPI2088966	2022-06-24	North-Central
HA|A/Sandwich_Tern/Netherlands/13/2022_HA_H5N1_HPAI|EPI2088950	2022-06-07	North-Central
HA|A/Gallus_gallus/Belgium/15977/2021|EPI1946086	2021-12-06	North-Central
HA|A/Gallus_gallus/Belgium/16070_003/2021|EPI1946078	2021-12-07	North-Central
HA|A/barnacle_goose/Sweden/SVA211216SZ0382/FB004836/2021|EPI1982591	2021-12-09	North-Eastern
HA|A/barnacle_goose/Sweden/SVA211220SZ0202/FB004847/2021|EPI1982600	2021-12-20	North-Eastern
HA|A/domestic_goose/Poland/H1931-T1/2021|EPI1937639	2021-11-03	North-Eastern
HA|A/Barnacle_goose/Luxembourg/22033922/2022|EPI2050822	2022-02-04	North-Central
HA|A/Canada_goose/Luxembourg/22012198/2022|EPI2050814	2022-01-17	North-Central
HA|A/chicken/Poland/H1940-N/2021|EPI1937647	2021-11-05	North-Eastern
HA|A/Grey_heron/Luxembourg/21243177/2021|EPI2050784	2021-12-14	North-Central
HA|A/Great_cormorant/Luxembourg/21243185/2021|EPI2050799	2021-12-14	North-Central
HA|A/Greylag_goose/Luxembourg/21217773/2021|EPI2050752	2021-11-24	North-Central
HA|A/Canada_goose/Luxembourg/21217776/2021|EPI2050760	2021-11-24	North-Central
HA|A/Canada_goose/Luxembourg/21237199/2021|EPI2050768	2021-12-09	North-Central
HA|2022-wk02-12_HA_H5|EPI1958449	2021-12-26	North-Central
HA|2022-wk02-11_HA_H5|EPI1958441	2021-12-24	North-Central
HA|2022-wk02-09_HA_H5|EPI1958425	2021-12-17	North-Central
HA|2022-wk02-13_HA_H5|EPI1958457	2022-01-08	North-Central
HA|A/chicken/Netherlands/21037233-001/2021|EPI1923252	2021-10-22	North-Central
