Sequence ID	Sequence name	Collection date	Region	Database
EPI2014101	HA|Seq4_A/chicken/Maine/22-007582-001-original/2022(H5N1)|EPI2014101	2022-03-11	Central	GISAID
EPI2014077	HA|Seq4_A/turkey/South_Dakota/22-007534-002-original/2022(H5N1)|EPI2014077	2022-03-11	Central	GISAID
EPI2014093	HA|Seq4_A/chicken/Wisconsin/22-007545-002-original/2022(H5N1)|EPI2014093	2022-03-13	Central	GISAID
EPI2013917	HA|Seq4_A/turkey/South_Dakota/22-006792-002-original/2022(H5N1)|EPI2013917	2022-03-04	Central	GISAID
EPI2013933	HA|Seq4_A/turkey/Iowa/22-006795-002-original/2022(H5N1)|EPI2013933	2022-03-06	Central	GISAID
EPI2013901	HA|Seq4_A/chicken/Missouri/22-006639-001-original/2022(H5N1)|EPI2013901	2022-03-03	Central	GISAID
EPI2013981	HA|Seq4_A/turkey/Missouri/22-007087-001-original/2022(H5N1)|EPI2013981	2022-03-08	Central	GISAID
EPI2013949	HA|Seq4_A/chicken/Delaware/22-006945-001-original/2022(H5N1)|EPI2013949	2022-03-07	Central	GISAID
EPI2013941	HA|Seq4_A/turkey/Missouri/22-006944-002-original/2022(H5N1)|EPI2013941	2022-03-07	Central	GISAID
EPI2013957	HA|Seq4_A/chicken/Delaware/22-006945-002-original/2022(H5N1)|EPI2013957	2022-03-07	Central	GISAID
EPI2035009	"HA|Seq4_[organism=Influenza_A_virus](A/guinea_fowl/South_Dakota/22-009194-003-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)|EPI2035009"	2022-03-25	Central	GISAID
EPI2035025	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/Minnesota/22-009195-003-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_c|EPI2035025"	2022-03-26	Central	GISAID
EPI2035049	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/South_Dakota/22-009198-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene|EPI2035049"	2022-03-26	Central	GISAID
EPI2035073	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/Iowa/22-009286-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_comple|EPI2035073"	2022-03-28	Central	GISAID
EPI2035081	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/Iowa/22-009287-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_compl|EPI2035081"	2022-03-28	Central	GISAID
EPI2035097	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/Minnesota/22-009313-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_c|EPI2035097"	2022-03-28	Central	GISAID
EPI2035105	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/Minnesota/22-009314-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_c|EPI2035105"	2022-03-28	Central	GISAID
EPI2035121	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/New_York/22-009324-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_c|EPI2035121"	2022-03-28	Central	GISAID
EPI2035153	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/Wyoming/22-009326-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_co|EPI2035153"	2022-03-29	Central	GISAID
EPI2035145	"HA|Seq4_[organism=Influenza_A_virus](A/quail/New_York/22-009324-009-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_com|EPI2035145"	2022-03-28	Central	GISAID
EPI2035169	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/South_Dakota/22-009327-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene|EPI2035169"	2022-03-27	Central	GISAID
