Sequence ID	Sequence name	Collection date	Region	Database
EPI2018075	HA|A/Fox/Netherlands/EMC2/2022_HA|EPI2018075	2022-01-10	North-Central	GISAID
EPI1929963	HA|2021-wk47-01_HA_H5|EPI1929963	2021-10-27	North-Central	GISAID
EPI1930027	HA|2021-wk47-10_HA_H5|EPI1930027	2021-11-09	North-Central	GISAID
EPI1930011	HA|2021-wk47-08_HA_H5|EPI1930011	2021-11-05	North-Central	GISAID
EPI1929987	HA|2021-wk47-05_HA_H5|EPI1929987	2021-11-05	North-Central	GISAID
EPI1929971	HA|2021-wk47-03_HA_H5|EPI1929971	2021-10-31	North-Central	GISAID
EPI1930067	HA|2021-wk47-16_HA_H5|EPI1930067	2021-11-02	North-Central	GISAID
EPI1930059	HA|2021-wk47-15_HA_H5|EPI1930059	2021-11-04	North-Central	GISAID
EPI1930051	HA|2021-wk47-14_HA_H5|EPI1930051	2021-11-02	North-Central	GISAID
EPI1930043	HA|2021-wk47-13_HA_H5|EPI1930043	2021-11-01	North-Central	GISAID
EPI1930035	HA|2021-wk47-12_HA_H5|EPI1930035	2021-10-30	North-Central	GISAID
EPI1930139	HA|2021-wk47-25_HA_H5|EPI1930139	2021-11-13	North-Central	GISAID
EPI1930123	HA|2021-wk47-23_HA_H5|EPI1930123	2021-11-07	North-Central	GISAID
EPI1930115	HA|2021-wk47-22_HA_H5|EPI1930115	2021-11-09	North-Central	GISAID
EPI1930107	HA|2021-wk47-21_HA_H5|EPI1930107	2021-11-14	North-Central	GISAID
EPI1930099	HA|2021-wk47-20_HA_H5|EPI1930099	2021-11-11	North-Central	GISAID
EPI1930083	HA|2021-wk47-18_HA_H5|EPI1930083	2021-11-02	North-Central	GISAID
EPI1930158	HA|A/Branta_leucopsis/Belgium/14735_0001/2021|EPI1930158	2021-11-04	North-Central	GISAID
EPI1956834	HA|A/chicken/Croatia/7/2022|EPI1956834	2022-01-10	North-Central	GISAID
EPI1956833	HA|A/mute_swan/Croatia/6/2022|EPI1956833	2022-01-06	North-Central	GISAID
EPI1859803	HA|A/common_murre/Netherlands/21025491-002/2021|EPI1859803	2021-03-17	North-Central	GISAID
EPI2018091	HA|2022-wk15-01_HA_H5|EPI2018091	2022-03-25	North-Central	GISAID
EPI2018099	HA|2022-wk15-02_HA_H5|EPI2018099	2022-03-28	North-Central	GISAID
EPI2018107	HA|2022-wk15-03_HA_H5|EPI2018107	2022-03-27	North-Central	GISAID
EPI2018115	HA|2022-wk15-04_HA_H5|EPI2018115	2022-03-27	North-Central	GISAID
EPI1988853	HA|A/red_knot/Germany-SH/AI01010/2022|EPI1988853	2022-01-25	North-Central	GISAID
EPI1988861	HA|A/buzzard/Germany-BB/AI01212/2022|EPI1988861	2022-02-11	North-Central	GISAID
EPI1859811	HA|A/barnacle_goose/Netherlands/21025769-002/2021|EPI1859811	2021-03-22	North-Central	GISAID
EPI1850253	HA|A/barnacle_goose/Netherlands/21022611-001/2021|EPI1850253	2021-01-31	North-Central	GISAID
EPI1850269	HA|A/common_buzzard/Netherlands/21022834-002/2021|EPI1850269	2021-02-01	North-Central	GISAID
EPI1945530	HA|21VIR7689-7_HA|EPI1945530	2021-05-01	North-Eastern	GISAID
EPI1945538	HA|21VIR7689-9_HA|EPI1945538	2021-06-01	North-Eastern	GISAID
EPI1945522	HA|21VIR7689-6_HA|EPI1945522	2021-05-01	North-Eastern	GISAID
EPI1945485	HA|21VIR7689-15_HA|EPI1945485	2021-08-01	North-Eastern	GISAID
EPI1945389	HA|21VIR7512-8_HA|EPI1945389	2021-06-02	North-Eastern	GISAID
EPI1945373	HA|21VIR10433-11_HA|EPI1945373	2021-10-12	North-Eastern	GISAID
EPI1945381	HA|21VIR7512-6_HA|EPI1945381	2021-05-16	North-Eastern	GISAID
EPI1945469	HA|21VIR7689-13_HA|EPI1945469	2021-08-01	North-Eastern	GISAID
EPI1945461	HA|21VIR7689-12_HA|EPI1945461	2021-07-01	North-Eastern	GISAID
EPI1945445	HA|21VIR7689-10_HA|EPI1945445	2021-06-01	North-Eastern	GISAID
EPI1928247	HA|A/greylag_goose_/Sweden/SVA211103SZ0398/FB004410/M-2021|EPI1928247	2021-11-01	North-Eastern	GISAID
EPI1945585	HA|21VIR10433-13_HA|EPI1945585	2021-11-08	North-Eastern	GISAID
EPI2008508	HA|A/White_Stork/Sweden/SVA220310SZ0365/FB000564/M-2022|EPI2008508	2022-03-06	North-Eastern	GISAID
EPI2008521	HA|A/Greylag_goose/Sweden/SVA220308SZ0382/FB000559/M-2022|EPI2008521	2022-01-21	North-Eastern	GISAID
EPI1928255	HA|A/common_pheasant_/Sweden/SVA211104SZ0320/FB004417/M-2021|EPI1928255	2021-10-29	North-Eastern	GISAID
EPI1966253	HA|2022-wk03-06_HA_H5|EPI1966253	2022-01-01	North-Central	GISAID
EPI1966278	HA|2022-wk03-09_HA_H5|EPI1966278	2022-01-09	North-Central	GISAID
EPI1966270	HA|2022-wk03-08_HA_H5|EPI1966270	2022-01-04	North-Central	GISAID
EPI1966213	HA|2022-wk03-01_HA_H5|EPI1966213	2021-12-27	North-Central	GISAID
EPI1966221	HA|2022-wk03-02_HA_H5|EPI1966221	2021-12-27	North-Central	GISAID
EPI1966229	HA|2022-wk03-03_HA_H5|EPI1966229	2022-01-03	North-Central	GISAID
EPI1966237	HA|2022-wk03-04_HA_H5|EPI1966237	2021-12-25	North-Central	GISAID
EPI2002649	HA|A/Gallus_gallus/Belgium/3191_0001/2022|EPI2002649	2022-03-10	North-Central	GISAID
EPI2077991	HA|A/Gallus_gallus/Belgium/8092_0002/2022|EPI2077991	2022-06-20	North-Central	GISAID
EPI2077983	HA|A/Thalasseus_sandvicensis/Belgium/7473_0009/2022|EPI2077983	2022-06-04	North-Central	GISAID
EPI2082797	HA|A/Commen_Tern/Netherlands/3/2022_HA_H5N1_HPAI|EPI2082797	2022-06-13	North-Central	GISAID
EPI2082781	HA|A/Sandwich_Tern/Netherlands/9/2022_HA_H5N1_HPAI|EPI2082781	2022-06-12	North-Central	GISAID
EPI2082773	HA|A/Black-headed_gull/Netherlands/9/2022_HA_H5N1_HPAI|EPI2082773	2022-06-10	North-Central	GISAID
EPI2082765	HA|A/Black-headed_gull/Netherlands/8/2022_HA_H5N1_HPAI|EPI2082765	2022-06-10	North-Central	GISAID
EPI2082749	HA|A/Commen_Tern/Netherlands/2/2022_HA_H5N1_HPAI|EPI2082749	2022-06-10	North-Central	GISAID
EPI2082741	HA|A/Greylag_Goose/Netherlands/8/2022_HA_H5N1_HPAI|EPI2082741	2022-06-06	North-Central	GISAID
EPI2082709	HA|A/Greylag_Goose/Netherlands/4/2022_HA_H5N1_HPAI|EPI2082709	2022-06-06	North-Central	GISAID
